,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
VGK,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
EZU,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036
DBEU,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
FEZ,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
DAX,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
EWU,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0119375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
EWJ,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
DXJ,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0059375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.0089375,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
EEM,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.0289375,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038
KEMP,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
