Date,DIA,DLN,DOG,DRIP,DSLV,DUST,DVY,DWTI,DXD,DXJ,EDC,EDZ,EEM,EEMV,EFA
9/6/2006,114.139999,53.66,67.949997,,,,65.830002,,67.57,53.049999,,,96.399994,,67.309998
9/7/2006,113.559998,53.419998,68.449997,,,,65.489998,,68.300003,52.549999,,,95.300011,,66.5
9/8/2006,113.870003,53.59,68.110001,,,,65.730003,,67.800003,52.23,,,96.080006,,66.519997
9/11/2006,113.959999,53.509998,68.120003,,,,65.800003,,67.720001,51.759998,,,94.01001,,66.120003
9/12/2006,114.980003,53.939999,67.589996,,,,66.300003,,66.589996,51.970001,,,95.619987,,66.879997
9/13/2006,115.470001,54.16,67.25,,,,66.559998,,65.980003,51.52,,,97.049995,,66.75
9/14/2006,115.510002,54.09,67.309998,,,,66.480003,,65.980003,51.580002,,,96.249985,,66.839996
9/15/2006,115.589996,54.189999,67.150002,,,,66.599998,,65.669998,51.740002,,,96.819992,,66.699997
9/18/2006,115.519997,54.16,67.25,,,,66.5,,65.779999,51.669998,,,97.910007,,66.980003
9/19/2006,115.339996,54.169998,67.389999,,,,66.370003,,66,51.279999,,,96.399994,,66.360001
9/20/2006,116.080002,54.389999,66.900002,,,,66.949997,,65.010002,51.52,,,98.379993,,67.010002
9/21/2006,115.370003,54.150002,67.43,,,,66.559998,,66.089996,51.48,,,95.97999,,67.169998
9/22/2006,115.010002,54.169998,67.620003,,,,66.489998,,66.540001,50.970001,,,94.76001,,66.839996
9/25/2006,115.599998,54.549999,67.220001,,,,66.849998,,65.529999,51.48,,,95.859987,,67.120003
9/26/2006,116.589996,54.869999,66.730003,,,,66.5,,64.550003,51.009998,,,96.990005,,67.279999
9/27/2006,116.980003,54.919998,66.599998,,,,66.660004,,64.470001,51.990002,,,96.770016,,67.709999
9/28/2006,116.900002,55.009998,66.5,,,,66.690002,,64.260002,52.220001,,,97.550011,,67.900002
9/29/2006,116.739998,54.860001,66.739998,,,,66.43,,64.699997,52.119999,,,96.770016,,67.75
10/2/2006,116.620003,54.779999,66.800003,,,,66.419998,,64.800003,52.68,,,96.609993,,67.940002
10/3/2006,117.139999,54.919998,66.529999,,,,66.449997,,64.309998,52.48,,,95.300011,,68
10/4/2006,118.389999,55.220001,65.779999,,,,67.050003,,63.040001,52.939999,,,97.850006,,68.650002
10/5/2006,118.620003,55.279999,65.699997,,,,67.239998,,62.700001,53.130001,,,99.149998,,68.730003
10/6/2006,118.519997,55.119999,65.849998,,,,66.900002,,62.779999,52.599998,,,98.900013,,68.120003
10/9/2006,118.620003,55.189999,65.839996,,,,66.980003,,62.73,52.240002,,,98.529991,,68.169998
10/10/2006,118.559998,55.32,65.769997,,,,67.239998,,62.799999,52.41,,,99.419998,,68.25
